"ID",NAME,TRADEDATE,OPEN,HIGH,LOW,CLOSE,VALUE,DURATION,YIELD
RTSI,Индекс РТС,2001-11-01,203.62,204.28,202.89,204.13,10280998,,
RTSI,Индекс РТС,2001-11-02,204.38,207,203.37,203.52,21302276,,
RTSI,Индекс РТС,2001-11-05,205.23,211.53,205.23,211.53,22747939,,
RTSI,Индекс РТС,2001-11-06,212.25,212.25,207.36,207.36,10642982,,
RTSI,Индекс РТС,2001-11-08,209.82,219,209.82,219,26647638,,
RTSI,Индекс РТС,2001-11-09,219.53,226.13,218.99,225.04,25221165,,
RTSI,Индекс РТС,2001-11-12,231.05,233.3,223.97,223.97,30314798,,
RTSI,Индекс РТС,2001-11-13,226.75,236.53,226.61,236.53,23762967,,
RTSI,Индекс РТС,2001-11-14,243.14,243.14,229.33,229.33,32641279,,
RTSI,Индекс РТС,2001-11-15,219.33,219.33,215.13,215.56,28872819,,
RTSI,Индекс РТС,2001-11-16,212.4,214.65,212.4,212.73,23133366,,
RTSI,Индекс РТС,2001-11-19,213.75,217.19,213.75,216.15,10522870,,
RTSI,Индекс РТС,2001-11-20,218.51,221.26,218.51,221.06,24151439,,
RTSI,Индекс РТС,2001-11-21,221.82,222.53,218.21,218.37,13730613,,
RTSI,Индекс РТС,2001-11-22,219.37,229.61,219.37,229.61,15367794,,
RTSI,Индекс РТС,2001-11-23,231.05,231.16,222.99,225.72,15125119,,
RTSI,Индекс РТС,2001-11-26,225.93,229.64,225.93,226.12,14910182,,
RTSI,Индекс РТС,2001-11-27,227.18,229.02,225.65,226.67,14829635,,
RTSI,Индекс РТС,2001-11-28,226.08,226.19,223.88,223.88,11054134,,
RTSI,Индекс РТС,2001-11-29,222.28,223.58,221.12,223.58,6712464,,
RTSI,Индекс РТС,2001-11-30,227.81,227.81,225.93,226.49,12275534,,
RTSI,Индекс РТС,2001-12-03,227.74,227.83,225.81,227.01,6885135,,
RTSI,Индекс РТС,2001-12-04,231.21,234.99,231.21,234.99,24238735,,
RTSI,Индекс РТС,2001-12-05,235.23,236.64,234.42,234.42,19181031,,
RTSI,Индекс РТС,2001-12-06,238.03,241.3,238.03,241.3,18892004,,
RTSI,Индекс РТС,2001-12-07,237.59,238.42,236.98,238.42,8608896,,
RTSI,Индекс РТС,2001-12-10,240.24,241.33,240.24,240.56,7689918,,
RTSI,Индекс РТС,2001-12-11,241.14,242.2,241.14,241.92,18936695,,
RTSI,Индекс РТС,2001-12-13,238.63,238.63,231.15,231.15,22679427,,
RTSI,Индекс РТС,2001-12-14,230.3,230.3,228.41,229.39,12795286,,
RTSI,Индекс РТС,2001-12-17,232.77,235.48,232.77,235.48,11077374,,
RTSI,Индекс РТС,2001-12-18,236.3,238.37,236.3,237.68,12052083,,
RTSI,Индекс РТС,2001-12-19,238.39,243.45,238.39,242.84,27183658,,
RTSI,Индекс РТС,2001-12-20,243.02,248.08,243.02,247.24,25374255,,
RTSI,Индекс РТС,2001-12-21,243.89,248.47,243.62,248.47,14375617,,
RTSI,Индекс РТС,2001-12-24,250.82,254.37,250.82,252.73,13213611,,
RTSI,Индекс РТС,2001-12-25,251.83,251.83,250.2,250.2,5689715,,
RTSI,Индекс РТС,2001-12-26,250.47,252.02,250.14,251.95,4459531,,
RTSI,Индекс РТС,2001-12-27,252.85,254.59,252.83,254.38,9485212,,
RTSI,Индекс РТС,2001-12-28,256.53,257.69,256.41,256.75,10741913,,
RTSI,Индекс РТС,2001-12-29,257.7,260.05,257.7,260.05,3478606,,
RTSI,Индекс РТС,2002-01-03,262.03,267.7,262.03,267.7,16223314,,
RTSI,Индекс РТС,2002-01-04,271.81,276.85,271.76,276.85,28130579,,
RTSI,Индекс РТС,2002-01-08,282.15,290.06,282.15,288.72,37962231,,
RTSI,Индекс РТС,2002-01-09,286.07,292.54,286.07,290.67,29329057,,
RTSI,Индекс РТС,2002-01-10,289.22,289.22,285.58,286.59,17822094,,
RTSI,Индекс РТС,2002-01-11,287.42,290.86,287.42,290.86,15034332,,
RTSI,Индекс РТС,2002-01-14,284.75,284.75,281.99,281.99,16085103,,
RTSI,Индекс РТС,2002-01-15,278.08,283.8,277.34,283.8,18904595,,
RTSI,Индекс РТС,2002-01-16,283.23,287.16,282.98,282.98,17510061,,
RTSI,Индекс РТС,2002-01-17,283.4,289.57,283.4,289.53,24682451,,
RTSI,Индекс РТС,2002-01-18,292.03,292.03,288.6,289.75,15952307,,
RTSI,Индекс РТС,2002-01-21,291.24,294.18,291.24,293.13,13167488,,
RTSI,Индекс РТС,2002-01-22,293.87,301.45,293.87,301.45,20552449,,
RTSI,Индекс РТС,2002-01-23,299.72,300.46,295.96,295.96,19038143,,
RTSI,Индекс РТС,2002-01-24,291.37,291.37,282.79,282.79,28127811,,
RTSI,Индекс РТС,2002-01-25,281.59,284.33,278.34,278.34,23049642,,
RTSI,Индекс РТС,2002-01-28,279.81,283.91,279.81,283.39,18343686,,
RTSI,Индекс РТС,2002-01-29,286.31,294.59,286.06,294.22,28049505,,
RTSI,Индекс РТС,2002-01-30,286.39,286.39,281.39,283.68,17911242,,
RTSI,Индекс РТС,2002-01-31,287.39,288.4,285.74,287.53,13770554,,
RTSI,Индекс РТС,2002-02-01,290.34,290.91,288.01,288.01,13777338,,
RTSI,Индекс РТС,2002-02-04,286.67,288.65,285.87,288.65,14147000,,
RTSI,Индекс РТС,2002-02-05,284.26,286.31,284.26,285.82,11221332,,
RTSI,Индекс РТС,2002-02-06,289.21,292.76,288.99,292.76,19363729,,
RTSI,Индекс РТС,2002-02-07,291.98,295.35,291.93,294.41,18757000,,
RTSI,Индекс РТС,2002-02-08,295.96,296.84,293.82,293.82,13411660,,
RTSI,Индекс РТС,2002-02-11,294.22,295.78,294.22,294.35,9725933,,
RTSI,Индекс РТС,2002-02-12,299.37,300.82,297.83,298.32,15585656,,
RTSI,Индекс РТС,2002-02-13,296.92,296.92,295.3,295.86,7592750,,
